ctyfips,county,stfips,state,zip,cd,dma,dma name
17183,Vermilion,,IL,61876,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17183,Vermilion,,IL,61883,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17185,Wabash,,IL,62410,,649,EVANSVILLE
17185,Wabash,,IL,62811,,649,EVANSVILLE
17185,Wabash,,IL,62852,,649,EVANSVILLE
17185,Wabash,,IL,62855,,649,EVANSVILLE
17185,Wabash,,IL,62863,,649,EVANSVILLE
17187,Warren,,IL,61417,,682,DAVENPORT-ROCK ISLAND-MOLINE
17187,Warren,,IL,61423,,682,DAVENPORT-ROCK ISLAND-MOLINE
17187,Warren,,IL,61435,,682,DAVENPORT-ROCK ISLAND-MOLINE
17187,Warren,,IL,61447,,682,DAVENPORT-ROCK ISLAND-MOLINE
17187,Warren,,IL,61453,,682,DAVENPORT-ROCK ISLAND-MOLINE
17187,Warren,,IL,61462,,682,DAVENPORT-ROCK ISLAND-MOLINE
17187,Warren,,IL,61473,,682,DAVENPORT-ROCK ISLAND-MOLINE
17187,Warren,,IL,61478,,682,DAVENPORT-ROCK ISLAND-MOLINE
17189,Washington,,IL,62214,,609,SAINT LOUIS
17189,Washington,,IL,62263,,609,SAINT LOUIS
17189,Washington,,IL,62268,,609,SAINT LOUIS
17189,Washington,,IL,62271,,609,SAINT LOUIS
17189,Washington,,IL,62803,,609,SAINT LOUIS
17189,Washington,,IL,62808,,609,SAINT LOUIS
17189,Washington,,IL,62831,,609,SAINT LOUIS
17189,Washington,,IL,62848,,609,SAINT LOUIS
17189,Washington,,IL,62876,,609,SAINT LOUIS
17189,Washington,,IL,62877,,609,SAINT LOUIS
17191,Wayne,,IL,62446,,649,EVANSVILLE
17191,Wayne,,IL,62809,,649,EVANSVILLE
17191,Wayne,,IL,62823,,649,EVANSVILLE
17191,Wayne,,IL,62837,,649,EVANSVILLE
17191,Wayne,,IL,62842,,649,EVANSVILLE
17191,Wayne,,IL,62843,,649,EVANSVILLE
17191,Wayne,,IL,62850,,649,EVANSVILLE
17191,Wayne,,IL,62851,,649,EVANSVILLE
17191,Wayne,,IL,62878,,649,EVANSVILLE
17191,Wayne,,IL,62886,,649,EVANSVILLE
17191,Wayne,,IL,62895,,649,EVANSVILLE
17193,White,,IL,62820,,649,EVANSVILLE
17193,White,,IL,62821,,649,EVANSVILLE
17193,White,,IL,62827,,649,EVANSVILLE
17193,White,,IL,62834,,649,EVANSVILLE
17193,White,,IL,62835,,649,EVANSVILLE
17193,White,,IL,62844,,649,EVANSVILLE
17193,White,,IL,62861,,649,EVANSVILLE
17193,White,,IL,62862,,649,EVANSVILLE
17193,White,,IL,62869,,649,EVANSVILLE
17193,White,,IL,62887,,649,EVANSVILLE
17195,Whiteside,,IL,61037,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61071,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61081,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61230,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61243,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61250,,682,DAVENPORT-ROCK ISLAND-MOLINE
17195,Whiteside,,IL,61251,,682,DAVENPORT-ROCK ISLAND-MOLINE
